Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Corniche fan résidence appartement à louer,3,5,200,Fann Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/630bf7cb944f220ac7415d2f762d00b6/-/horizon-files-prod/ed/picture/q44nrqre/e159ae53daa050feb6327c5cf1aab5b92d6994b9.jpg
Apartement corniche fan résidence,3,4,250,Fann Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe9cfd3b2e75e88be465529243368b93/-/horizon-files-prod/ed/picture/q56dwwe5/dc65a41bce26d4f12f27e7589b92a18263136c92.jpg
Appartement à louer aux poin E,3,5,200,Point-e Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7835d0ccc9b77a01b2328d17e079324d/-/horizon-files-prod/ed/picture/qq42wkpz/ceb6de6460a7ad9c9445c6f61a15a55d9596ab82.jpg
Appartement à louer aux Point e,3,5,200,Point-e Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b57bb55c751137ca0a5fe78044d5d116/-/horizon-files-prod/ed/picture/qpdmn5kr/00e41c982ec77224c0dc512e2ff6764d62cea80c.jpg
Appartement à louer aux mamelles,3,4,200,Mamelles Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6953f2d7d3ef0588ce6396f3475b473/-/horizon-files-prod/ed/picture/q44nrw4r/4834e825f66cd3771bb55beb25c90c22dc318ffa.jpg
Apartement 4 chambres à louer aux Almadie,4,5,250,Almadies Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6318f7f974f8d0d8baabedd922718bc1/-/horizon-files-prod/ed/picture/qenvp895/03c8828feb9fa7a0917f846f7684abde1f997375.jpg
Apartement corniches fan résidence 2 chambres,2,3,190,Fann Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/746843adbe5b527a19fd73d08ea1a159/-/horizon-files-prod/ed/picture/qrz86e0m/792f379addcc7e1e6d7748f5f5964b36a4a585ac.jpg
"Grands appartements, Bienvenue chez vous !!!",4,4,171,Nord foire Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd51486a61a43a645517656880a723af/-/horizon-files-prod/ed/picture/qrz86epx/5558c7076e29a5c22870e5bc5b45e1bdb23a48ca.jpg
APPARTEMENT DE TYPE F4 À VENDRE DANS UN IMMEUBLE R+9,3,3,190,Point-e Dakar,190000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c75a2996857d6dc9141ade576dd40a1/-/horizon-files-prod/ed/picture/q44n00zp/06b03dc3fd57d061d7e66c8c73c23a13ebaf27e9.jpg
APPARTEMENTS F4 HAUT STANDING A MERMOZ,4,4,275,Mermoz Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f9e7420d4af7f6b7a21e46498001b4a/-/horizon-files-prod/ed/picture/q8v4vj67/1a4902271166f408cd35b5daed1e8165521250e0.jpg
Appart cité keur Damél F3,2,2,150,Yoff Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4bf39dc923b389aa34c0aa552ae7a5d/-/horizon-files-prod/ed/picture/q9m8gr97/4febb2d83fdfa75a8618eb53b9c9ba0ffce32aef.jpg
Appartement vue MER au Plateau,3,3,270,Plateau Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c404c40817c3f7eb08487624dbcabcb8/-/horizon-files-prod/ed/picture/q9mjj0ej/42dac6f26dea7d890cae300002d974400783b62b.jpg
Mermoz appartement neuf de type F3 à louer,2,3,150,Mermoz Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eab62706207f3c577d777f9fcd7a68aa/-/horizon-files-prod/ed/picture/qenvrzz9/a2e9c8de335bc02d2020c7fbf81387e2b4115cdf.jpg
APPARTEMENTS F3 À LOUER AUX MAMELLES,2,1,95,Mamelles Dakar,360000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2be2dcf10e3a5049b8210f990c34e97e/-/horizon-files-prod/ed/picture/qwep269d/fe93b416cf28a94433d46b3034e03c4f16b6f14d.jpg
Appartement à louer,1,2,90,Liberte 1 Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e834c9a3fb838b18e1073f9b4f0104a/-/horizon-files-prod/ed/picture/qj4qxjzz/246545f93a9d98e833646696dc56b3fe9b4f20d0.jpg
APPARTEMENT F5 AUX ALMADIES,4,5,150,Almadies Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c5ab7e117383d95581fb2b0dffec602/-/horizon-files-prod/ed/picture/qrz8j8w8/6970415fd6ca5e07a9749364eb5bdd81d633d238.jpg
F4 à louer au plateau,3,3,150,Plateau Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c8b7d7bf56bc59c717f31ca7d4d2cd43/-/horizon-files-prod/ed/picture/qzvprepv/9bb9635fa6ff0da1cbdcb1d0e844a86ecfac4e2f.jpg
F5 visible à sacré coeur 3,4,3,285,Sacré-cœur Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/548c713f34175546924dfcae51a5a72f/-/horizon-files-prod/ed/picture/q0g72ppj/e94b682a2b778597634491b897391a0918bb39ab.jpg
Sudios neufs à louer à Mbao,1,1,35,Mbao Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e9a15ae228a46832d73b045b9ad3505/-/horizon-files-prod/ed/picture/qxjpkwj8/2f049eaff082d485172c81bc5d8be44afe80a45f.jpg
